tag,num_train,AP,dataset
#overwatch,103.0,0.0105616,ari_small
#twinbotz,57.0,0.1427470,ari_small
#dasenergifestival,36.0,0.0248719,ari_small
#chandlerriggs,109.0,0.0000797,ari_small
#cosplay,86.0,0.0056283,ari_small
#rocketleague,64.0,0.3971843,ari_small
#donaldtrump,83.0,0.0382758,ari_small
#malika,42.0,0.0019569,ari_small
#dancebattle,175.0,0.0001240,ari_small
#malikaandkhaliyawhitworth,114.0,0.0032002,ari_small
#news,64.0,0.0203556,ari_small
#godsangels,76.0,0.0003261,ari_small
#trickshot,53.0,0.0062225,ari_small
#darkhand,60.0,0.0144730,ari_small
#dubstep,39.0,0.0023720,ari_small
#nyc,37.0,0.0026477,ari_small
#selfie,34.0,0.0042678,ari_small
#goal,49.0,0.0193798,ari_small
#musicvideo,35.0,0.0021067,ari_small
#rio2016,38.0,0.0055824,ari_small
#munchkin,32.0,0.0341316,ari_small
#elitegamingsquad,42.0,0.0201060,ari_small
#thebandgodsangelsedits,34.0,0.0062875,ari_small
#boston,58.0,0.0204423,ari_small
#creepycomparison,37.0,0.0033278,ari_small
#genesissquad,36.0,0.0161213,ari_small
#politics,64.0,0.0362208,ari_small
#bottleofjack,28.0,0.4863296,ari_small
#epic,22.0,0.0007858,ari_small
#pizza,30.0,0.0027206,ari_small
#vineenespanol,25.0,0.0016627,ari_small
#florida,28.0,0.0022805,ari_small
#twins,45.0,0.0005633,ari_small
#painting,25.0,0.0017937,ari_small
#fireworks,24.0,0.0219577,ari_small
#trump,38.0,0.0036957,ari_small
#spongebob,29.0,0.0035772,ari_small
#yourmoodboard,22.0,0.0081130,ari_small
#loveyourself,30.0,0.0010343,ari_small
#edsheeran,30.0,0.0026166,ari_small
#horse,24.0,0.0063970,ari_small
#farewelltwchallenge,20.0,0.0302353,ari_small
#ridingwitht,20.0,0.1950987,ari_small
#6secondscover,21.0,0.0031657,ari_small
#flowers,20.0,0.0025296,ari_small
#comingup,20.0,0.0706261,ari_small
#zaynmalik,26.0,0.0005325,ari_small
#rwby,24.0,0.0031404,ari_small
#lipsyncing,21.0,0.0011409,ari_small
#editsquadoutlaw,19.0,0.0056223,ari_small
#animeedits,20.0,0.0010975,ari_small
#haikyuu,21.0,0.0032420,ari_small
#suicide,15.0,0.0059103,ari_small
#true,15.0,0.0010083,ari_small
#guitarcover,14.0,0.0042345,ari_small
#godiseverything,35.0,0.0018972,ari_small
#fifa16,25.0,0.0257756,ari_small
#godisonlytrending,0.0,0.0015843,ari_small
#camerondallas,14.0,0.0007317,ari_small
#sleepy,17.0,0.0014958,ari_small
#jokes,13.0,0.0007767,ari_small
#charactertraits,14.0,0.0042593,ari_small
#animeweek,15.0,0.0036394,ari_small
#sunrise,17.0,0.0367499,ari_small
#creative,10.0,0.0005340,ari_small
#animezodiac,16.0,0.0034490,ari_small
#girltwins,60.0,0.0003134,ari_small
#doggy,12.0,0.0015787,ari_small
#destinythegame,13.0,0.0017977,ari_small
#southpark,15.0,0.0363774,ari_small
#mashup,14.0,0.0007915,ari_small
#hpmonth,13.0,0.0108606,ari_small
#actor,9.0,0.0006193,ari_small
#kiss,14.0,0.0009435,ari_small
#kingofallkings,23.0,0.1064969,ari_small
#singingvines,19.0,0.0010090,ari_small
#goldenretriever,15.0,0.0022130,ari_small
#mood,14.0,0.0006171,ari_small
#vdm,10.0,0.0014680,ari_small
#lacrosse,14.0,0.0073642,ari_small
#bostonredsox,21.0,0.0267894,ari_small
#frenchbulldog,17.0,0.0016929,ari_small
#nbasummer,12.0,0.1082370,ari_small
#jjba,22.0,0.0007681,ari_small
#maimai,11.0,0.0319035,ari_small
#theweeknd,16.0,0.0004564,ari_small
#ratsofvine,21.0,0.0072183,ari_small
#adelecover,12.0,0.0009920,ari_small
#germanshepherd,13.0,0.0011648,ari_small
#vinebotz,29.0,0.0332571,ari_small
#superbowl50,17.0,0.0003570,ari_small
#gamingedit,17.0,0.0009778,ari_small
#ohl,13.0,0.0876148,ari_small
#pistons,6.0,0.0088412,ari_small
#friend,11.0,0.0006053,ari_small
#funnyshit,12.0,0.0004017,ari_small
#fly,14.0,0.0004901,ari_small
#onepiece,15.0,0.0008351,ari_small
#followback,9.0,0.0002566,ari_small
#mountains,11.0,0.0030900,ari_small
#brazil,12.0,0.0004031,ari_small
#codtrickshot,15.0,0.0018835,ari_small
#girlmeetsworld,5.0,0.0002509,ari_small
#shrine,5.0,0.0016189,ari_small
#cringeworthy,12.0,0.0004402,ari_small
#servamp,14.0,0.0022832,ari_small
#danielskye,2.0,0.0000253,ari_small
#miami,12.0,0.0003412,ari_small
#golazo,17.0,0.0074483,ari_small
#treatyoubetter,10.0,0.0011268,ari_small
#sao,14.0,0.0006597,ari_small
#fairytailedit,18.0,0.0028880,ari_small
#boom,14.0,0.0008965,ari_small
#doctorwho,10.0,0.0009120,ari_small
#justinbieberedits,14.0,0.0010817,ari_small
#sandiego,12.0,0.0005220,ari_small
#lazysunday,16.0,0.0005146,ari_small
#spurs,12.0,0.0016744,ari_small
#golf,13.0,0.0057033,ari_small
#jojosbizarreadventure,18.0,0.0008005,ari_small
#retro,10.0,0.0005595,ari_small
#thanks,10.0,0.0007652,ari_small
#gopdebate,27.0,0.1663913,ari_small
#khaliyawhitworth,4.0,0.0001274,ari_small
#swimming,11.0,0.0004981,ari_small
#csgo,12.0,0.0006889,ari_small
#samsmith,13.0,0.0008008,ari_small
#natural,11.0,0.0009414,ari_small
#suicidal,8.0,0.0071084,ari_small
#usabmnt,11.0,0.0009409,ari_small
#puppiesofvine,12.0,0.0007705,ari_small
#animu,3.0,0.0000672,ari_small
#dachshundsofvine,11.0,0.0014144,ari_small
#teamjesusonly,0.0,0.0000076,ari_small
#the100,13.0,0.0018675,ari_small
#stop,9.0,0.0004889,ari_small
#meeks,19.0,0.0015149,ari_small
#keeks,19.0,0.0025750,ari_small
#free,11.0,0.0003684,ari_small
#charlieputh,11.0,0.0006284,ari_small
#nails,11.0,0.0014017,ari_small
#fallout,11.0,0.0017897,ari_small
#bo2trickshot,8.0,0.0029596,ari_small
#seventeen,10.0,0.0009289,ari_small
#hamster,10.0,0.0009700,ari_small
#depressededit,8.0,0.0433005,ari_small
#rapper,8.0,0.0002397,ari_small
#coconutcam,13.0,0.0164146,ari_small
#bleach,16.0,0.0004221,ari_small
#weeaboo,5.0,0.0002958,ari_small
#gerbilsofvine,9.0,0.0040812,ari_small
#yato,12.0,0.0010333,ari_small
#90s,9.0,0.0009702,ari_small
#footystarsquad,11.0,0.0010407,ari_small
#nwe,4.0,0.0004031,ari_small
#ouch,10.0,0.0003156,ari_small
#cleveland,12.0,0.0033831,ari_small
#neko,8.0,0.0003582,ari_small
#shtuesday,10.0,0.0006830,ari_small
#craftbeer,10.0,0.0004479,ari_small
#kibum,5.0,0.0010382,ari_small
#tgif,14.0,0.0004246,ari_small
#mlp,9.0,0.0006590,ari_small
#fss,13.0,0.0053048,ari_small
#pugs,9.0,0.0004107,ari_small
#hilariousvines,8.0,0.0015401,ari_small
#harmony,8.0,0.0006708,ari_small
#guns,10.0,0.0003736,ari_small
#army,7.0,0.0003293,ari_small
#americanhorrorstory,11.0,0.0007490,ari_small
#leravers,14.0,0.0023053,ari_small
#ps3,10.0,0.0002182,ari_small
#thunder,10.0,0.0009805,ari_small
#eggs,9.0,0.0005426,ari_small
#cuttingshapes,10.0,0.0010146,ari_small
#sunshine,8.0,0.0004925,ari_small
#show,6.0,0.0003164,ari_small
#1d,10.0,0.0004110,ari_small
#rat,11.0,0.0007207,ari_small
#freeiwatobiswimclub,17.0,0.0012322,ari_small
#twinbotiz,0.0,0.0006271,ari_small
#bathbomb,10.0,0.0041589,ari_small
#psychedelic,10.0,0.0003507,ari_small
#pll,8.0,0.0011962,ari_small
#cook,8.0,0.0006076,ari_small
#singersongwriter,4.0,0.0012938,ari_small
#rekt,9.0,0.0003730,ari_small
#bf4,11.0,0.0006569,ari_small
#letmeloveyou,4.0,0.0010680,ari_small
#acapellacover,9.0,0.0009310,ari_small
#exol,10.0,0.0070221,ari_small
#skill,10.0,0.0003140,ari_small
#orange,9.0,0.0003136,ari_small
#farewelltvdchallenge,8.0,0.0122880,ari_small
#owarinoseraph,15.0,0.0015998,ari_small
#comic,6.0,0.0002592,ari_small
#bollywood,9.0,0.0003455,ari_small
#health,5.0,0.0007928,ari_small
#videoedit,7.0,0.0003070,ari_small
#paradise,11.0,0.0007329,ari_small
#part1,10.0,0.0003945,ari_small
#producer,9.0,0.0003600,ari_small
#pun,6.0,0.0005233,ari_small
#dragonballsuper,7.0,0.0007034,ari_small
#dancingbellsprout,8.0,0.5544254,ari_small
#faze,9.0,0.0004376,ari_small
#battlefront,9.0,0.0004545,ari_small
#edsheerancover,13.0,0.0007996,ari_small
#tiger,11.0,0.0021736,ari_small
#amber,3.0,0.0001175,ari_small
#debate,8.0,0.0008917,ari_small
#happyjungkookday,8.0,0.0016972,ari_small
#demdebate,18.0,0.0073167,ari_small
#healthwatch,14.0,0.0045693,ari_small
#soul,6.0,0.0003020,ari_small
#freekick,9.0,0.0022142,ari_small
#parrot,8.0,0.0006326,ari_small
#dubai,10.0,0.0004285,ari_small
#bars,6.0,0.0004869,ari_small
#glidingonair,0.0,0.0005240,ari_small
#quote,11.0,0.0009405,ari_small
#autism,5.0,0.0002591,ari_small
#bostonmarathon,17.0,0.0119880,ari_small
#nalu,7.0,0.0012955,ari_small
#goclear,12.0,0.0189487,ari_small
#patrickstjean,9.0,0.0005817,ari_small
#filipinovines,11.0,0.0005676,ari_small
#blackcat,8.0,0.0003955,ari_small
#nets,12.0,0.0013754,ari_small
#skitzngigglez,12.0,0.0013477,ari_small
#kpopchannel,6.0,0.0003077,ari_small
#ratsareawesome,14.0,0.0006299,ari_small
#backflip,8.0,0.0004109,ari_small
#spongebobsquarepants,11.0,0.0006797,ari_small
#exok,9.0,0.0001490,ari_small
#thedivision,10.0,0.0004019,ari_small
#ironman,9.0,0.0002232,ari_small
#rugby,9.0,0.0016805,ari_small
#streetdance,2.0,0.0001063,ari_small
#bff,7.0,0.0003830,ari_small
#boss,6.0,0.0003373,ari_small
#vaporwave,10.0,0.0004732,ari_small
#follows,4.0,0.0004696,ari_small
#bbcnews,13.0,0.0000285,ari_small
#bestfriends,6.0,0.0003402,ari_small
#fivenightsatfreddys,8.0,0.0008616,ari_small
#centro,12.0,0.0463514,ari_small
#baile,7.0,0.0003583,ari_small
#wolf,7.0,0.0004274,ari_small
#vinecomio,9.0,0.0003133,ari_small
#siamese,8.0,0.0005540,ari_small
#ireland,9.0,0.0007455,ari_small
#neymarjr,8.0,0.0011742,ari_small
#theoriginaltwinbotz,3.0,0.0943608,ari_small
#fashionblogger,11.0,0.0001137,ari_small
#yourplottwist,7.0,0.0006664,ari_small
#silhouettesunday,8.0,0.0010645,ari_small
#gamegrumps,8.0,0.0005021,ari_small
#madonna,8.0,0.0003762,ari_small
#marchmadness,8.0,0.0034855,ari_small
#videogameedit,10.0,0.0002687,ari_small
#crewelite,15.0,0.0005136,ari_small
#familyguy,9.0,0.0003992,ari_small
#hotaf,6.0,0.0003162,ari_small
#blackops2,7.0,0.0003903,ari_small
#sonicadventuredx,7.0,0.0428096,ari_small
#ratlife,17.0,0.0065918,ari_small
#fitfam,4.0,0.0001937,ari_small
#kardinaloffishall,0.0,0.0000444,ari_small
#lufc,7.0,0.0135714,ari_small
#vhs,8.0,0.0004278,ari_small
#niggasbelike,10.0,0.0019662,ari_small
#hawks,5.0,0.0033923,ari_small
#tedtvedits,4.0,0.0005732,ari_small
#mouse,6.0,0.0005129,ari_small
#geometrydash,8.0,0.0017943,ari_small
#squirrel,7.0,0.0007027,ari_small
#ncaa,11.0,0.0044850,ari_small
#rwbyedit,11.0,0.0012755,ari_small
#greekgodchallenge,6.0,0.0022892,ari_small
#madrid,10.0,0.0003386,ari_small
#zoo,7.0,0.0005640,ari_small
#stressedout,10.0,0.0371848,ari_small
#suhdude,7.0,0.0002276,ari_small
#depressing,3.0,0.0003891,ari_small
#beatboxnation,5.0,0.0010135,ari_small
#greysanatomy,6.0,0.0005155,ari_small
#stunt,7.0,0.0002025,ari_small
#doxie,5.0,0.0006364,ari_small
#kuroshitsuji,9.0,0.0002992,ari_small
#gtastunts,4.0,0.0007744,ari_small
#vinecomicreviews,6.0,0.0437858,ari_small
#trance,6.0,0.0002230,ari_small
#forest,10.0,0.0068569,ari_small
#nbaallstarto,15.0,0.0022173,ari_small
#kyliejenner,7.0,0.0009673,ari_small
#instrumental,6.0,0.0011655,ari_small
#magconboys,10.0,0.0002433,ari_small
#patriots,6.0,0.0005507,ari_small
#itslit,5.0,0.0006525,ari_small
#assassinscreed,8.0,0.0002849,ari_small
#cali,8.0,0.0003471,ari_small
#arizona,5.0,0.0003211,ari_small
#dancingbotz,13.0,0.0100888,ari_small
#europe,6.0,0.0003442,ari_small
#kingjames,6.0,0.0004224,ari_small
#drinking,7.0,0.0002867,ari_small
#fruit,6.0,0.0003280,ari_small
#nhprimary2016,12.0,0.0001231,ari_small
#indovines,6.0,0.0003149,ari_small
#equestrian,11.0,0.0013612,ari_small
#beard,8.0,0.0002237,ari_small
#blazesquad,6.0,0.0006175,ari_small
#monkey,8.0,0.0009107,ari_small
#liverpool,6.0,0.0003384,ari_small
#natsu,7.0,0.0003186,ari_small
#sakura,7.0,0.0010130,ari_small
#ilovemydog,6.0,0.0006328,ari_small
#shuffledance,8.0,0.0006652,ari_small
#onceuponatime,11.0,0.0006358,ari_small
#primesquad,6.0,0.0030728,ari_small
#deer,6.0,0.0005400,ari_small
#otp,9.0,0.0003615,ari_small
#eliteeditsofthegamers,13.0,0.0007898,ari_small
#feminism,6.0,0.0001785,ari_small
#gainbackfollowers,8.0,0.0046893,ari_small
#malec,6.0,0.0085116,ari_small
#krump,4.0,0.0004410,ari_small
#experienciasbioparc,11.0,0.0047717,ari_small
#ourblues,6.0,0.0032612,ari_small
#jensenackles,5.0,0.0007484,ari_small
#turtle,5.0,0.0004573,ari_small
#handmade,6.0,0.0003805,ari_small
#doglover,7.0,0.0004995,ari_small
#slfl,11.0,0.0005293,ari_small
#roses,6.0,0.0003144,ari_small
#doglife,9.0,0.0002903,ari_small
#collegefootball,6.0,0.0009655,ari_small
#gato,6.0,0.0004856,ari_small
#nightprophecy,6.0,0.0048006,ari_small
#keyboard,6.0,0.0002965,ari_small
#insanitycrew,9.0,0.0021039,ari_small
#cuteanimals,9.0,0.0005653,ari_small
#mvpsports,5.0,0.0045946,ari_small
#shot,5.0,0.0001560,ari_small
#montreal,6.0,0.0001270,ari_small
#offensivememes,8.0,0.0436420,ari_small
#bungoustraydogs,6.0,0.0008345,ari_small
#championsleague,6.0,0.0002835,ari_small
#airplane,6.0,0.0003439,ari_small
#singers,6.0,0.0004262,ari_small
#guy,5.0,0.0001823,ari_small
#kyungsoo,5.0,0.0003891,ari_small
#11037daysofdr,6.0,0.0005428,ari_small
#rockets,7.0,0.0015242,ari_small
#christinaaguilera,6.0,0.0001760,ari_small
#playstation4,7.0,0.0001912,ari_small
#island,6.0,0.0002199,ari_small
#seraphoftheend,7.0,0.0010296,ari_small
#playforglorycrew,4.0,0.0005952,ari_small
#tricking,6.0,0.0004175,ari_small
#editsquad,7.0,0.0003176,ari_small
#cutecat,4.0,0.0002645,ari_small
#lukasgraham,7.0,0.0002184,ari_small
#logic,5.0,0.0003037,ari_small
#teaminstinct,5.0,0.0002360,ari_small
#longboard,5.0,0.0002589,ari_small
#shiba,6.0,0.0002851,ari_small
#woman,6.0,0.0002631,ari_small
#sweden,5.0,0.0002754,ari_small
#man,6.0,0.0004813,ari_small
#gloving,5.0,0.0015027,ari_small
#pomeranian,6.0,0.0009997,ari_small
#bulldogsofvine,6.0,0.0003251,ari_small
#mmd,8.0,0.0002309,ari_small
#jinyoung,12.0,0.0001050,ari_small
#musicandsports,5.0,0.0042970,ari_small
#walk,4.0,0.0002925,ari_small
#petrat,7.0,0.0055285,ari_small
#trailer,8.0,0.0003669,ari_small
#dlinevids,5.0,0.0006733,ari_small
#lame,6.0,0.0011803,ari_small
#steelers,5.0,0.0003290,ari_small
#larrystylinson,5.0,0.0011284,ari_small
#marktuan,8.0,0.0003213,ari_small
#duck,5.0,0.0005281,ari_small
#martialarts,7.0,0.0003996,ari_small
#kakashi,10.0,0.0003183,ari_small
#younow,3.0,0.0001659,ari_small
#alternative,3.0,0.0001892,ari_small
#justiceleague,4.0,0.0001884,ari_small
#unc,5.0,0.0001376,ari_small
#yanderesimulator,6.0,0.0002466,ari_small
#foodgasm,3.0,0.0002800,ari_small
#gmod,8.0,0.0001538,ari_small
#cordialrc2,5.0,0.0019503,ari_small
#animemeweek,5.0,0.0028358,ari_small
#sf,6.0,0.0003403,ari_small
#cnblueworld,4.0,0.0004730,ari_small
#piraterp,5.0,0.0002962,ari_small
#springbreak,8.0,0.0002226,ari_small
#farmlife,6.0,0.0006831,ari_small
#gol,5.0,0.0005739,ari_small
#ouranhighschoolhostclub,6.0,0.0004170,ari_small
#inspirehappiness,2.0,0.0011220,ari_small
#9daysofscream,5.0,0.0015384,ari_small
#poledance,6.0,0.0001909,ari_small
#zachking,4.0,0.0003408,ari_small
#orgnlstyle,11.0,0.0003333,ari_small
#pacers,5.0,0.0013761,ari_small
#drumandbass,3.0,0.0000977,ari_small
#corgisofvine,8.0,0.0009890,ari_small
#mischiefmadness,4.0,0.0004755,ari_small
#waterbottleflip,7.0,0.0003281,ari_small
#twinz,18.0,0.0002054,ari_small
#buzzerbeater,6.0,0.0007786,ari_small
#grunge,4.0,0.0002157,ari_small
#ninja,4.0,0.0003818,ari_small
#motion,3.0,0.0002835,ari_small
#poodle,7.0,0.0007839,ari_small
#flips,4.0,0.0003414,ari_small
#playtime,6.0,0.0009526,ari_small
#usher,6.0,0.0002241,ari_small
#magi,6.0,0.0006751,ari_small
#furbaby,4.0,0.0002488,ari_small
#ouat,7.0,0.0004126,ari_small
#specialfx,4.0,0.0003404,ari_small
#rncincle,6.0,0.0002669,ari_small
#vancouver,4.0,0.0003535,ari_small
#wbznewsat6,5.0,0.0330238,ari_small
#newgame,3.0,0.0003975,ari_small
#link,4.0,0.0002983,ari_small
#camping,5.0,0.0002243,ari_small
#bokunoheroacademia,6.0,0.0001689,ari_small
#stydia,6.0,0.0007565,ari_small
#ferrari,6.0,0.0001884,ari_small
#nailpolish,6.0,0.0005417,ari_small
#nomnom,5.0,0.0003748,ari_small
#ssb43ds,3.0,0.0020518,ari_small
#gainfollowers,6.0,0.0002956,ari_small
#funk,4.0,0.0002020,ari_small
#damonsalvatore,8.0,0.0003451,ari_small
#5sosfam,6.0,0.0005024,ari_small
#tmnt,7.0,0.0003343,ari_small
#adelehello,6.0,0.0002484,ari_small
#coym,3.0,0.0033721,ari_small
#mydog,6.0,0.0002324,ari_small
#akamegakill,6.0,0.0025401,ari_small
#goldenstatewarriors,6.0,0.0005125,ari_small
#goats,6.0,0.0002724,ari_small
#wakeupwords,5.0,0.0734443,ari_small
#bringusback,5.0,0.0003340,ari_small
#virussquad,8.0,0.0011987,ari_small
#vr,5.0,0.0002471,ari_small
#cereal,5.0,0.0003040,ari_small
#9daysofanimeeyes,5.0,0.0006666,ari_small
#aliens,4.0,0.0003402,ari_small
#gamergirl,4.0,0.0002685,ari_small
#lovethissong,4.0,0.0002807,ari_small
#fitnessgrampacertest,6.0,0.0002935,ari_small
#perpignan,2.0,0.0010379,ari_small
#blooper,4.0,0.0001583,ari_small
#tasty,4.0,0.0002415,ari_small
#justforfun,4.0,0.0004309,ari_small
#tgambinoif,6.0,0.0002849,ari_small
#war,5.0,0.0003706,ari_small
#vixxken,1.0,0.0021367,ari_small
#myvoice,6.0,0.0013145,ari_small
#transformation,5.0,0.0001227,ari_small
#roasted,5.0,0.0002446,ari_small
#nailedit,3.0,0.0001468,ari_small
#action,5.0,0.0001411,ari_small
#terrier,6.0,0.0004995,ari_small
#smash,6.0,0.0002028,ari_small
#kyoto,5.0,0.0004551,ari_small
#vineitwhileyoudriveit,5.0,0.0004243,ari_small
#vmldraft1,4.0,0.0014254,ari_small
#blingaudios,4.0,0.0015810,ari_small
#scottmccall,5.0,0.0005588,ari_small
#walmart,8.0,0.0002660,ari_small
#alaska,4.0,0.0003139,ari_small
#hornets,5.0,0.0012222,ari_small
#animallover,3.0,0.0001775,ari_small
#itachi,7.0,0.0006237,ari_small
#chinchilla,5.0,0.0001784,ari_small
#jumpman,7.0,0.0001641,ari_small
#election,7.0,0.0033015,ari_small
#cuba,8.0,0.0002670,ari_small
#lgndsquad,12.0,0.0013236,ari_small
#teewolf,5.0,0.0003798,ari_small
#sand,4.0,0.0004001,ari_small
#urban,3.0,0.0002374,ari_small
#carolinapanthers,7.0,0.0002264,ari_small
#caribbean,10.0,0.0002192,ari_small
#dunkcontest,6.0,0.0001137,ari_small
#bb18,4.0,0.0002791,ari_small
#southboston,8.0,0.0043980,ari_small
#swissbeatbox,8.0,0.0001031,ari_small
#darksouls,5.0,0.0004106,ari_small
#southafrica,5.0,0.0002305,ari_small
#valencia,7.0,0.0002658,ari_small
#demsinphilly,5.0,0.0003633,ari_small
#fujiyoshidacity,4.0,0.0230970,ari_small
#gd,4.0,0.0001615,ari_small
#topchallenge,4.0,0.0010388,ari_small
#photooftheday,4.0,0.0001977,ari_small
#phantomgourmet,7.0,0.0733505,ari_small
#rockthered,8.0,0.0016909,ari_small
#3ds,4.0,0.0002067,ari_small
#bottle,4.0,0.0003841,ari_small
#jackandjack,5.0,0.0004350,ari_small
#newat6,6.0,0.0017759,ari_small
#2016nhldraft,5.0,0.0050383,ari_small
#evonation,8.0,0.0049840,ari_small
#conormcgregor,8.0,0.0001726,ari_small
#sgvines,6.0,0.0001377,ari_small
#thetinydog,4.0,0.0004736,ari_small
#ajax,4.0,0.2341852,ari_small
#blog,3.0,0.0002313,ari_small
#elenagilbert,6.0,0.0026346,ari_small
#rvb,5.0,0.0002549,ari_small
#nctu,5.0,0.0005768,ari_small
#bestnflplays,4.0,0.0287078,ari_small
#cookingpanda,4.0,0.0006073,ari_small
#alessiacara,5.0,0.0002828,ari_small
#imperialsquad,5.0,0.0004192,ari_small
#brooklyn,5.0,0.0002559,ari_small
#sheep,7.0,0.0002070,ari_small
#flowey,5.0,0.0001607,ari_small
#8daysofanimecharacters,5.0,0.0016000,ari_small
#siberianhusky,6.0,0.0004059,ari_small
#sportsedits,4.0,0.0000859,ari_small
#psycho,6.0,0.0001471,ari_small
#guineapig,5.0,0.0004631,ari_small
#nfldraft,4.0,0.0212302,ari_small
#gorillaz,4.0,0.0001727,ari_small
#hehe,2.0,0.0000917,ari_small
#positive,3.0,0.0011792,ari_small
#learning,3.0,0.0002770,ari_small
#yourgloup,4.0,0.0003717,ari_small
#hiroshima,7.0,0.0017525,ari_small
#usabwnt,5.0,0.0001665,ari_small
#wwenxt,1.0,0.0000394,ari_small
#valhallarc4,5.0,0.0009739,ari_small
#buckybarnes,4.0,0.0002283,ari_small
#dangerous,4.0,0.0001379,ari_small
#childhood,4.0,0.0001974,ari_small
#mar,5.0,0.0000604,ari_small
#harrystylesedit,6.0,0.0003102,ari_small
#sims4,4.0,0.0001524,ari_small
#contest,5.0,0.0001791,ari_small
#pig,5.0,0.0004441,ari_small
#splash,5.0,0.0001993,ari_small
#wbznewsat5,4.0,0.0143620,ari_small
#azwx,4.0,0.0170950,ari_small
#bowie,5.0,0.0001742,ari_small
#guys,4.0,0.0001395,ari_small
#choreo,2.0,0.0003004,ari_small
#vinedance,3.0,0.0004177,ari_small
#alllivesmatter,4.0,0.0003591,ari_small
#kamdelafu,4.0,0.0004428,ari_small
#skyline,4.0,0.0001562,ari_small
#walkingdead,6.0,0.0001659,ari_small
#aussieviner,4.0,0.0001224,ari_small
#pixelart,4.0,0.0004431,ari_small
#bikelife,4.0,0.0001657,ari_small
#playofthegame,13.0,0.0003099,ari_small
#firstanimeweek,4.0,0.0004091,ari_small
#obito,8.0,0.0001005,ari_small
#5daysofmm,4.0,0.0003810,ari_small
#alexmorgan,4.0,0.0002696,ari_small
#goofy,5.0,0.0001466,ari_small
#photograph,3.0,0.0002022,ari_small
#bringmethehorizon,4.0,0.0001617,ari_small
#ohagi,4.0,0.0002630,ari_small
#kpopfunny,3.0,0.0003379,ari_small
#thinkingoutloud,11.0,0.0003126,ari_small
#ship,3.0,0.0001606,ari_small
#basketballneverstops,4.0,0.0002763,ari_small
#allstar,4.0,0.0001858,ari_small
#thegoodvoice,6.0,0.0001318,ari_small
#chicagoblackhawks,5.0,0.0002664,ari_small
#artistic,4.0,0.0001595,ari_small
#callofdutyadvancedwarfare,2.0,0.0000376,ari_small
#vegetarian,5.0,0.0002622,ari_small
#uber,5.0,0.0001746,ari_small
#teamcoolsmoketricks,3.0,0.0000385,ari_small
#madden,5.0,0.0007742,ari_small
#bighit,6.0,0.0002013,ari_small
